epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1106.37,0.70282,0.46637,0.89608,0.93755,0.85942,0.90709,0.61505,0.81286,0.46291,0.95754,0.000297081,0.000297081,0.000297081
76,1117.93,0.69308,0.46766,0.88839,0.90206,0.87658,0.90241,0.62711,0.78486,0.45319,0.94499,0.000286083,0.000286083,0.000286083
77,1133.33,0.70386,0.46823,0.89683,0.91089,0.87198,0.89864,0.63332,0.7745,0.44408,0.94125,0.000275084,0.000275084,0.000275084
78,1147.62,0.70945,0.45634,0.90595,0.91652,0.87126,0.91077,0.62342,0.77977,0.45033,0.94418,0.000264085,0.000264085,0.000264085
79,1159.57,0.70892,0.46081,0.91317,0.90295,0.88188,0.90779,0.6229,0.77347,0.44529,0.94722,0.000253086,0.000253086,0.000253086
80,1170.04,0.69485,0.46543,0.89081,0.91364,0.85584,0.89639,0.62191,0.76867,0.44487,0.94177,0.000242087,0.000242087,0.000242087
81,1181.29,0.66136,0.44456,0.89567,0.86386,0.87942,0.89464,0.62542,0.78001,0.4537,0.94613,0.000231088,0.000231088,0.000231088
82,1195.01,0.70967,0.46108,0.90654,0.91061,0.86491,0.91468,0.63162,0.77891,0.4481,0.95101,0.000220089,0.000220089,0.000220089
83,1210.18,0.69709,0.45783,0.8981,0.91952,0.87514,0.91339,0.62629,0.77591,0.43953,0.94992,0.00020909,0.00020909,0.00020909
84,1227.74,0.68096,0.45576,0.89988,0.95102,0.86063,0.9174,0.63648,0.76666,0.4425,0.94295,0.000198091,0.000198091,0.000198091
85,1242.56,0.67841,0.44106,0.8851,0.94828,0.86532,0.92271,0.65284,0.77756,0.43503,0.94662,0.000187092,0.000187092,0.000187092
86,1254.15,0.69047,0.4452,0.89187,0.97235,0.86983,0.92735,0.65074,0.77792,0.43617,0.94731,0.000176094,0.000176094,0.000176094
87,1266.06,0.65548,0.43235,0.88245,0.88509,0.90398,0.93149,0.64097,0.78046,0.43628,0.94817,0.000165095,0.000165095,0.000165095
88,1279.6,0.66703,0.43905,0.87664,0.8733,0.92437,0.93547,0.6435,0.76681,0.43431,0.94553,0.000154096,0.000154096,0.000154096
89,1298.35,0.65841,0.4368,0.89311,0.91278,0.94286,0.93357,0.64463,0.76385,0.41585,0.94494,0.000143097,0.000143097,0.000143097
90,1310.08,0.64859,0.43937,0.8877,0.92748,0.94286,0.93059,0.64092,0.76473,0.41444,0.94368,0.000132098,0.000132098,0.000132098
91,1319.61,0.61644,0.42193,0.87375,0.93375,0.93851,0.92942,0.63199,0.77423,0.42344,0.94801,0.000121099,0.000121099,0.000121099
92,1331.58,0.60267,0.41797,0.86755,0.92778,0.9293,0.93086,0.64312,0.76536,0.42879,0.94771,0.0001101,0.0001101,0.0001101
93,1342.79,0.5956,0.41118,0.85766,0.92391,0.90203,0.92113,0.64096,0.76081,0.41966,0.94408,9.91012e-05,9.91012e-05,9.91012e-05
94,1353.39,0.61216,0.41625,0.87482,0.92873,0.90799,0.91174,0.63204,0.76517,0.42587,0.94394,8.81023e-05,8.81023e-05,8.81023e-05
95,1365.66,0.59399,0.40687,0.85507,0.93262,0.91289,0.91795,0.6315,0.77373,0.42621,0.94604,7.71034e-05,7.71034e-05,7.71034e-05
96,1377.16,0.60515,0.40619,0.85039,0.9205,0.92647,0.91778,0.63646,0.77242,0.42032,0.94259,6.61045e-05,6.61045e-05,6.61045e-05
97,1388.23,0.5707,0.39844,0.84875,0.92073,0.93238,0.91802,0.62697,0.76261,0.4172,0.94233,5.51056e-05,5.51056e-05,5.51056e-05
98,1398.63,0.58399,0.39517,0.86041,0.92038,0.92205,0.91749,0.62642,0.76451,0.41509,0.94457,4.41067e-05,4.41067e-05,4.41067e-05
99,1412.58,0.57674,0.39688,0.85414,0.92417,0.92412,0.91749,0.62571,0.76546,0.41371,0.94477,3.31078e-05,3.31078e-05,3.31078e-05
100,1426.89,0.58231,0.39557,0.85715,0.9389,0.89503,0.91127,0.62698,0.76666,0.41518,0.94463,2.21089e-05,2.21089e-05,2.21089e-05
